метод,отн_ошибка_суммарной_активности,отн_ошибка_распределения (L2),средняя_ошибка_горячих_ячеек,косинусная_близость,информационная_корреляция_Linfoot,невязка ||Ax-b||/||b||,итого_Бк
MLEM,0.004442551767366102,0.025039613211996013,0.03257489048599293,0.9997825518576297,0.9884158609000988,0.020302172442993167,351554893.11857814
Тихонов,0.014403414298716784,0.051272566207879594,0.06967010448550234,0.9989085871296471,0.9884158609000988,0.023681630040555474,355041195.0045509
ИСТИНА (модель),0.0,0.0,0.0,1.0,1.0,0.022151410665002504,350000000.0
